"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"3",0,0,1,11,0,25,0,3164,3,1,53472.5
"27",1,0,1,17,2361,30,90702.5,4872,0,1,164432.5
"30",1,0,1,17,79,27,365,266,0,1,56575
"31",0,0,1,16,2087,25,34401.25,3763,0,0,35054.6015625
"38",0,0,1,12,1210,27,18250,3999,1,1,77745
"42",1,0,1,14,2340,30,43800,800,0,0,43800
"45",1,0,1,12,3999,28,48362.5,3448,2,1,48362.5
"50",1,0,1,11,1430,28,14600,4883,3,1,21535
"52",0,0,1,10,2032,30,6570,2483,2,0,20498.400390625
"54",1,0,1,12,2080,25,14600,5821,1,1,16790
"55",1,0,1,12,1960,29,16425,5282,0,0,19710
"56",1,0,1,6,2694,30,29419,6137,2,1,29419
"62",1,0,1,12,2530,26,24049.849609375,6138,2,1,25758.05078125
"72",0,1,0,12,2120,25,34675,2628,1,0,34675
"637",1,0,1,17,2000,34,80300,1150,1,1,95265
"674",0,0,1,17,0,26,0,2398,0,1,36500
"677",0,0,1,8,0,44,0,768,0,0,17454.30078125
"762",1,0,1,10,1800,27,58765,3564,1,1,60590
"790",1,0,1,12,2075,26,54750,3979,0,1,91250
"796",1,0,1,12,2650,25,27083,3490,0,0,29820.5
"805",1,1,0,12,2276,28,68985,2601,2,1,68985
"811",1,1,0,6,4000,47,82125,5535,0,1,116873
"817",1,0,1,12,1347,36,32850,3454,0,0,37230
"839",1,0,1,12,2040,33,37412.5,6047,1,0,37412.5
"841",0,0,1,12,0,35,0,782,3,1,92710
"842",0,0,1,16,0,34,0,557,3,1,331785
"859",1,0,1,13,2004,58,75190,4162,0,1,91615
"892",1,0,1,12,2362,46,77416.5,4660,0,1,93476.5
"894",0,0,1,17,72,35,8030,5322,2,1,69350
"970",0,0,1,12,320,29,2190,3901,1,1,129940
"975",1,0,0,12,2556,39,93075,2106,3,1,110996.5
"991",0,0,1,12,2000,53,28470,992,0,1,98550
"1036",0,1,0,13,624,30,12775,2166,1,1,41993.25
"1141",1,0,1,16,1960,28,65700,5022,1,1,124100
"1161",1,0,1,13,2640,47,208050,4276,1,1,275392.5
"1180",0,0,1,17,0,29,0,4375,0,1,209510
"1211",0,0,1,17,1239,34,36500,1569,2,1,97090
"1212",0,0,1,12,1170,34,11497.5,2106,3,1,110996.5
"1264",0,0,1,12,1440,28,18250,953,0,0,19345
"1328",1,0,1,16,2618,51,73000,3220,0,1,105667.5
"1334",0,0,1,12,1960,36,23360,1707,1,1,63820.25
"1358",0,0,1,12,0,34,0,1417,2,1,56940
"1371",1,0,1,17,2339,29,68255,5114,1,1,83074
"1427",1,0,1,16,780,25,7300,4694,0,1,13505
"1431",1,0,1,16,2136,51,113150,4093,0,1,175200
"1489",1,0,1,8,1893,49,32229.5,650,0,0,41953.1015625
"1490",0,0,1,11,1602,36,23725,1383,2,1,77343.5
"1544",0,0,1,12,0,27,0,1991,1,1,60225
"1546",0,0,1,14,1040,26,9581.25,3641,0,1,78110
"1584",0,0,1,16,416,34,21900,1727,3,1,85775
"1608",0,0,1,16,0,41,0,3062,4,1,119902.5
"1612",0,1,0,12,2080,25,32850,4443,1,0,37595
"1626",0,0,1,14,1200,28,18250,3856,0,1,102747.5
"1662",0,0,1,16,400,39,10950,2959,2,1,139795
"1664",0,0,1,12,2000,26,43891.25,226,0,0,49001.25
"1674",0,0,1,16,2470,27,32850,740,0,1,87600
"1680",0,0,1,12,0,54,0,585,0,1,64108.6015625
"1734",0,0,1,12,192,28,1825,3876,2,0,77599
"1772",1,0,1,8,2529,50,25550,5158,0,1,33977.8515625
"1776",1,0,1,12,1920,40,22666.5,969,2,1,38325
